1girl,0,6160065,"1girls,sole-female"
highres,5,5441605,"high-res,high-resolution,hires"
solo,0,5121212,"female-solo,solo-female"
long-hair,0,4470268,"/lh,longhair"
breasts,0,3532665,"/b,boobs,breast,breats,oppai,tits"
looking-at-viewer,0,3415827,"/lav,/pec,pov-eye-contact"
commentary-request,5,3383416,/com
blush,0,3016740,"blushing,flush,flushed"
smile,0,2958528,":),:},smiling"
open-mouth,0,2445623,mouth-open
short-hair,0,2317244,"short-hair,shorthair"
shirt,0,1888671,"shirt-only,shirts"
simple-background,0,1884325,"/sbg,/simplebg"
absurdres,5,1857628,"insaneres,very-high-resolution"
blue-eyes,0,1807950,"blueeyes,light-blue-eyes"
long-sleeves,0,1622447,"long-sleeve,/lsleeves"
large-breasts,0,1621778,"big-breasts,large-boobs,large-breast,large-tits,/lb"
skirt,0,1597693,
blonde-hair,0,1584448,"blond,blonde,/blondeh,blondehair,blond-hair,gold-hair,yellow-hair"
multiple-girls,0,1573427,/ngirls
white-background,0,1552078,"/wbg,/whitebg"
black-hair,0,1550698,"/blackh,black-hair,blackhair,dark-hair"
brown-hair,0,1538008,"/brownh,brown-hair,brownhair,brunette,chocolate-hair"
hair-ornament,0,1459966,"hair-accessories,hair-accessory,hair-decs,hair-ornaments,/hornament"
1boy,0,1452076,"1boys,sole-male"
commentary,5,1439116,commentaries
holding,0,1412722,"hold,holding-object"
gloves,0,1393412,glove
dress,0,1336135,
red-eyes,0,1309401,"red-eye,redeyes"
hat,0,1237593,
closed-mouth,0,1219744,
bow,0,1208742,bows
animal-ears,0,1206372,kemonomimi
bad-id,5,1205115,bad-skeb-id
hair-between-eyes,0,1202449,bangs-between-eyes
original,3,1194534,"/o,original-character"
thighhighs,0,1194260,"naked-thighhighs,nude-thighhighs,stocking,stockings,/t,thighhgihs,thighhigh,thigh-highs,thighhighs-only,thighhigs,thighighs"
navel,0,1180675,"belly-button,bellybutton"
ribbon,0,1112930,ribbons
jewelry,0,1098409,"jewelery,jewellery"
2girls,0,1049674,"2girl,2-girls"
cleavage,0,1028037,"clevage,overboob"
bare-shoulders,0,1000357,"bare-shoulder,bareshoulders"
very-long-hair,0,981672,"hair-past-waist,/vlh"
jacket,0,972553,
sitting,0,965760,"sit,sitting-down"
bad-pixiv-id,5,946845,
standing,0,931028,
twintails,0,925786,"/tt,twintaiks,twintail,twin-tails"
touhou,3,910108,"/to,toho"
medium-breasts,0,909137,
white-shirt,0,881987,white-blouse
blue-hair,0,880178,"/blueh,bluehair"
green-eyes,0,871257,"green-eyes,greeneyes"
brown-eyes,0,862862,"browneyes,light-brown-eyes"
nipples,0,848982,nipple
full-body,0,841883,
purple-eyes,0,832428,"light-purple-eyes,purpleeyes,violet-eyes"
collarbone,0,809517,"clavicle,clavicles,collarbones"
